comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_psychosomatic,hallo,31,0,31,0.3514,0.0,0.3514,5.8153,39.5919,direct,88221,78851
direct_vs_group_psychosomatic,jedoch,14,63,77,0.1587,0.799,-0.6403,-2.2927,39.4718,group,88221,78851
direct_vs_group_psychosomatic,restriktiven,0,26,26,0.0,0.3297,-0.3297,-5.8899,39.045,group,88221,78851
direct_vs_group_psychosomatic,morgen,371,193,564,4.2053,2.4477,1.7577,0.779,38.9392,direct,88221,78851
direct_vs_group_psychosomatic,und,1636,1808,3444,18.5443,22.9293,-4.385,-0.3062,38.7563,group,88221,78851
direct_vs_group_psychosomatic,Könntest,47,4,51,0.5328,0.0507,0.482,3.2379,37.9914,direct,88221,78851
direct_vs_group_psychosomatic,doch,91,22,113,1.0315,0.279,0.7525,1.8619,37.8522,direct,88221,78851
direct_vs_group_psychosomatic,Teil,63,10,73,0.7141,0.1268,0.5873,2.4344,37.158,direct,88221,78851
direct_vs_group_psychosomatic,hattest,35,1,36,0.3967,0.0127,0.384,4.4028,37.0633,direct,88221,78851
direct_vs_group_psychosomatic,M,2,33,35,0.0227,0.4185,-0.3958,-3.9062,36.7791,group,88221,78851
direct_vs_group_psychosomatic,sichten,2,33,35,0.0227,0.4185,-0.3958,-3.9062,36.7791,group,88221,78851
direct_vs_group_psychosomatic,vielleicht,119,37,156,1.3489,0.4692,0.8796,1.5101,36.6302,direct,88221,78851
direct_vs_group_psychosomatic,auf,392,523,915,4.4434,6.6328,-2.1894,-0.5775,36.4117,group,88221,78851
direct_vs_group_psychosomatic,Schmerzen,13,58,71,0.1474,0.7356,-0.5882,-2.2775,36.1029,group,88221,78851
direct_vs_group_psychosomatic,IIÂ°,0,24,24,0.0,0.3044,-0.3044,-5.7767,36.0415,group,88221,78851
direct_vs_group_psychosomatic,Tacrolimus,0,24,24,0.0,0.3044,-0.3044,-5.7767,36.0415,group,88221,78851
