comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_nonadjacent,doâs,0,13,13,0.0,0.1494,-0.1494,-4.775,18.2033,group,88221,87002
direct_vs_group_nonadjacent,nur,209,129,338,2.3691,1.4827,0.8863,0.6739,18.019,direct,88221,87002
direct_vs_group_nonadjacent,v,11,40,51,0.1247,0.4598,-0.3351,-1.8364,17.9248,group,88221,87002
direct_vs_group_nonadjacent,Weißt,13,0,13,0.1474,0.0,0.1474,4.7348,17.8416,direct,88221,87002
direct_vs_group_nonadjacent,kommst,13,0,13,0.1474,0.0,0.1474,4.7348,17.8416,direct,88221,87002
direct_vs_group_nonadjacent,1,145,223,368,1.6436,2.5632,-0.9196,-0.6393,17.7618,group,88221,87002
direct_vs_group_nonadjacent,tgl,8,34,42,0.0907,0.3908,-0.3001,-2.0411,17.6875,group,88221,87002
direct_vs_group_nonadjacent,Reducto,2,20,22,0.0227,0.2299,-0.2072,-3.0557,17.346,group,88221,87002
direct_vs_group_nonadjacent,aktiv,4,25,29,0.0453,0.2873,-0.242,-2.5226,17.2271,group,88221,87002
direct_vs_group_nonadjacent,Studie,49,16,65,0.5554,0.1839,0.3715,1.5649,17.104,direct,88221,87002
direct_vs_group_nonadjacent,Na,17,1,18,0.1927,0.0115,0.1812,3.5242,17.0074,direct,88221,87002
direct_vs_group_nonadjacent,angefangen,17,1,18,0.1927,0.0115,0.1812,3.5242,17.0074,direct,88221,87002
direct_vs_group_nonadjacent,wirkte,5,27,32,0.0567,0.3103,-0.2537,-2.342,16.9315,group,88221,87002
direct_vs_group_nonadjacent,okay,20,2,22,0.2267,0.023,0.2037,3.0156,16.8451,direct,88221,87002
direct_vs_group_nonadjacent,HCC,0,12,12,0.0,0.1379,-0.1379,-4.6639,16.8031,group,88221,87002
direct_vs_group_nonadjacent,Klärung,0,12,12,0.0,0.1379,-0.1379,-4.6639,16.8031,group,88221,87002
direct_vs_group_nonadjacent,Ligaturen,0,12,12,0.0,0.1379,-0.1379,-4.6639,16.8031,group,88221,87002
direct_vs_group_nonadjacent,Pfortaderthrombose,0,12,12,0.0,0.1379,-0.1379,-4.6639,16.8031,group,88221,87002
direct_vs_group_nonadjacent,Polytox,0,12,12,0.0,0.1379,-0.1379,-4.6639,16.8031,group,88221,87002
direct_vs_group_nonadjacent,Spiel,0,12,12,0.0,0.1379,-0.1379,-4.6639,16.8031,group,88221,87002
direct_vs_group_nonadjacent,Zusammen,0,12,12,0.0,0.1379,-0.1379,-4.6639,16.8031,group,88221,87002
direct_vs_group_nonadjacent,blutigem,0,12,12,0.0,0.1379,-0.1379,-4.6639,16.8031,group,88221,87002
direct_vs_group_nonadjacent,ethyltox,0,12,12,0.0,0.1379,-0.1379,-4.6639,16.8031,group,88221,87002
direct_vs_group_nonadjacent,Ösophagusvarizenblutung,0,12,12,0.0,0.1379,-0.1379,-4.6639,16.8031,group,88221,87002
direct_vs_group_nonadjacent,Termin,138,77,215,1.5643,0.885,0.6792,0.8175,16.7086,direct,88221,87002
direct_vs_group_nonadjacent,Gesprächstherapie,3,22,25,0.034,0.2529,-0.2189,-2.7046,16.5767,group,88221,87002
direct_vs_group_nonadjacent,Fragebogen,12,0,12,0.136,0.0,0.136,4.6238,16.4691,direct,88221,87002
direct_vs_group_nonadjacent,Sag,12,0,12,0.136,0.0,0.136,4.6238,16.4691,direct,88221,87002
direct_vs_group_nonadjacent,brief,12,0,12,0.136,0.0,0.136,4.6238,16.4691,direct,88221,87002
direct_vs_group_nonadjacent,doctalk,12,0,12,0.136,0.0,0.136,4.6238,16.4691,direct,88221,87002
direct_vs_group_nonadjacent,gucken,12,0,12,0.136,0.0,0.136,4.6238,16.4691,direct,88221,87002
direct_vs_group_nonadjacent,irgendwann,12,0,12,0.136,0.0,0.136,4.6238,16.4691,direct,88221,87002
direct_vs_group_nonadjacent,da,446,328,774,5.0555,3.77,1.2855,0.4227,16.4556,direct,88221,87002
direct_vs_group_nonadjacent,weiterhin,16,47,63,0.1814,0.5402,-0.3589,-1.5455,16.3727,group,88221,87002
direct_vs_group_nonadjacent,folgende,2,19,21,0.0227,0.2184,-0.1957,-2.9835,16.1411,group,88221,87002
direct_vs_group_nonadjacent,ggü,2,19,21,0.0227,0.2184,-0.1957,-2.9835,16.1411,group,88221,87002
direct_vs_group_nonadjacent,Konflikt,4,24,28,0.0453,0.2759,-0.2305,-2.4649,16.1294,group,88221,87002
